wavelength, species, expot, loggf, type, filename
5526.77,  21.1,  +1.77,  +0.02, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Sc5526.moog
5031.01,  21.1,  +1.36,  -0.40, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Sc5031.moog
4670.40,  21.1,  +1.36,  -0.58, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Sc4670.moog
4415.54,  21.1,  +0.59,  -0.67, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Sc4415.moog
4400.38,  21.1,  +0.60,  -0.54, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Sc4400.moog
4823.52,  25.0,  +2.32,  +0.14, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Mn4823.moog
4783.43,  25.0,  +2.30,  +0.04, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Mn4783.moog
4766.42,  25.0,  +2.92,  +0.10, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Mn4766.moog
4762.37,  25.0,  +2.89,  +0.30, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Mn4762.moog
4754.04,  25.0,  +2.28,  -0.08, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Mn4754.moog
4313.00, 106.0,   +nan,   +nan, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/CH4313.moog
4323.00, 106.0,   +nan,   +nan, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/CH4323.moog
