wavelength, species, expot, loggf, type, filename
4030.75,  25.0,  +0.00,  -0.50, syn, /Users/alexji/S5/linelists/synthesis_lists/Mn4030.moog
4034.48,  25.0,  +0.00,  -0.84, syn, /Users/alexji/S5/linelists/synthesis_lists/Mn4034.moog
6707.81,   3.0,  +0.00,  +0.18, syn, /Users/alexji/S5/linelists/synthesis_lists/Li6707.moog
6300.30,   8.0,  +0.00,  -9.82, syn, /Users/alexji/S5/linelists/synthesis_lists/O6300.moog
7698.97,  19.0,  +0.00,  -0.18, syn, /Users/alexji/S5/linelists/synthesis_lists/K7698.moog
5627.63,  23.0,  +1.08,  -0.35, syn, /Users/alexji/S5/linelists/synthesis_lists/V5627.moog
4111.78,  23.0,  +0.30,  +0.40, syn, /Users/alexji/S5/linelists/synthesis_lists/V4111.moog
4115.18,  23.0,  +0.29,  +0.05, syn, /Users/alexji/S5/linelists/synthesis_lists/V4115.moog
4577.17,  23.0,  +0.00,  -1.08, syn, /Users/alexji/S5/linelists/synthesis_lists/V4577.moog
4586.37,  23.0,  +0.04,  -0.79, syn, /Users/alexji/S5/linelists/synthesis_lists/V4586.moog
3750.87,  23.1,  +1.68,  -0.40, syn, /Users/alexji/S5/linelists/synthesis_lists/V3750.moog
3894.08,  27.0,  +1.05,  +0.12, syn, /Users/alexji/S5/linelists/synthesis_lists/Co3894.moog
3995.31,  27.0,  +0.92,  -0.18, syn, /Users/alexji/S5/linelists/synthesis_lists/Co3995.moog
5483.35,  27.0,  +1.71,  -1.50, syn, /Users/alexji/S5/linelists/synthesis_lists/Co5483.moog
5476.90,  28.0,  +1.82,  -0.78, syn, /Users/alexji/S5/linelists/synthesis_lists/Ni5476.moog
5105.53,  29.0,  +1.39,  -1.52, syn, /Users/alexji/S5/linelists/synthesis_lists/Cu5105.moog
4810.53,  30.0,  +4.08,  -0.15, syn, /Users/alexji/S5/linelists/synthesis_lists/Zn4810.moog
3950.36,  39.1,  +0.10,  -0.49, syn, /Users/alexji/S5/linelists/synthesis_lists/Y3950.moog
4854.87,  39.1,  +0.99,  -0.38, syn, /Users/alexji/S5/linelists/synthesis_lists/Y4854.moog
5087.42,  39.1,  +1.08,  -0.17, syn, /Users/alexji/S5/linelists/synthesis_lists/Y5087.moog
5200.41,  39.1,  +0.99,  -0.57, syn, /Users/alexji/S5/linelists/synthesis_lists/Y5200.moog
5205.73,  39.1,  +1.03,  -0.34, syn, /Users/alexji/S5/linelists/synthesis_lists/Y5205.moog
4429.91,  57.1,  +0.23,  -0.35, syn, /Users/alexji/S5/linelists/synthesis_lists/La4429.moog
4920.98,  57.1,  +0.13,  -0.58, syn, /Users/alexji/S5/linelists/synthesis_lists/La4920.moog
4435.58,  63.1,  +0.21,  -0.11, syn, /Users/alexji/S5/linelists/synthesis_lists/Eu4435.moog
4522.58,  63.1,  +0.21,  -0.67, syn, /Users/alexji/S5/linelists/synthesis_lists/Eu4522.moog
6645.06,  63.1,  +1.38,  +0.12, syn, /Users/alexji/S5/linelists/synthesis_lists/Eu6645.moog
4449.70,  66.1,  +0.00,  -1.03, syn, /Users/alexji/S5/linelists/synthesis_lists/Dy4449.moog
4217.00, 106.0,   +nan,   +nan, syn, /Users/alexji/S5/linelists/synthesis_lists/CH4217_isotopes.moog
4225.00, 106.0,   +nan,   +nan, syn, /Users/alexji/S5/linelists/synthesis_lists/CH4225_isotopes.moog
4237.00, 106.0,   +nan,   +nan, syn, /Users/alexji/S5/linelists/synthesis_lists/CH4237_isotopes.moog
4371.00, 106.0,   +nan,   +nan, syn, /Users/alexji/S5/linelists/synthesis_lists/CH4371_isotopes.moog
